Overview,book,pages,text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
,Letter from a Birmingham Jail ,35,epistolary,"Martin Luther King Jr. defends his civil disobedience against racial segregation, arguing that individuals have a moral duty to oppose unjust laws and fight for justice through nonviolent means.",Martin Luther King Jr. ,1963,,,Very Complex ,Very Complex ,Very Complex,Very Complex ,,1200,12.5,9.6,11-12th grade ,,nonfiction,"civil disobedience, prejudice, urgency of action, moral responsibility ","political, activist, persuasive, social justice ",
,The Landlady ,17,short story ,"A young man named Billy Weaver checks into a peculiar bed-and-breakfast, only to realize too late that the seemingly kind landlady has sinister intentions.",Roald Dahl ,1959,,,Moderately Complex,Moderately Complex,Slightly Complex,Moderately Complex,,600,6,4.4,6-8th grade ,,"gothic, fiction","expectations vs. reality, isolation, dangers of naivety ","thriller, horror, suspense, foreshadowing, dark comedy",
,The Black Cat,34,short story ,"A man descends into madness and violence, driven by alcoholism and guilt, ultimately sealing his fate when his horrific crime is exposed by the very cat he sought to destroy. ",Edgar Allan Poe ,1843,,,Very Complex,Very Complex ,Exceedingly Complex,Moderately Complex,,890,9,9.3,9-12th grade,,"gothic, fiction ","guilt, self-destruction, madness","thriller, horror, dark romanticism, justice, supernatural ",
,A Sound of Thunder ,39,short story,"A time-traveling hunter accidentally alters the past by killing a butterfly, leading to disastrous changes in the future.",Ray Bradbury,1952,,,Moderately Complex ,Slightly complex ,Moderately Complex,Moderately Complex ,,820,6.5,5.7,7-9th grade ,,"science, fiction ","the butterfly effect, human impact on the environment, moral responsibility ","alternate realities, time travel, speclative, thriller ",
,The Necklace,48,short story,"A woman borrows a costly necklace to attend a fancy event, loses it, and spends years in poverty replacing it, only to discover the original necklace was a fake.",Guy de Maupassant,1884,,,Very Complex ,Moderately Complex ,Moderately Complex,Very Complex ,,1200,7.5,6.3,8-10th grade,,"realistic, fiction","social status, vanity, pride, deceit ","irony, drama, social commentary, fate, misjudgement ",
,Flowers for Algernon,60,short story ,"A man with an intellectual disability undergoes an experimental procedure that boosts his intelligence, but as he becomes more aware of his surroundings, he grapples with the fleeting nature of his newfound abilities.",Daniel Keyes,1959,,,Very Complex ,Moderately Complex ,Slightly Complex,Very Complex ,,680,5.5,5.4,7-9th grade,,"science, fiction","ethics of science experimentation, isolation, intelligence, the importance of human connection ","psychological, humanism, social commentary, social prejudice ",
,the Gift of the Magi,18,short story ,"A young couple sacrifices their most treasured possessions to buy each other Christmas gifts, only to find their love and selflessness are the true gifts that matter most.",O. Henry,1905,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Slightly Complex ,,880,6.5,6.6,7-10th grade ,,"realistic, fiction","love, sacrafice, selflessness, wealth vs. value ","romance, irony, gender, christian values ",
,The Yellow Wallpaper,22,short story,"A woman suffering from postpartum depression is confined by her husband’s strict treatment, leading her to obsess over the room’s wallpaper and slowly descend into madness.",Charlotte Perkins Gilman,1892,,,Very Complex ,Slightly Complex,Slighty Complex ,Moderately Complex ,,990,9.5,8.2,9-12th grade ,,"gothic, fiction ","freedom vs. control, patriarchial control, identity","psychological, horror, feminist, realistic, mental illness ",
,The Fun They Had,5,short story,"Two children in the future discover an old book about traditional schools and reflect on how different their own robotic, individualized learning system is.",Isaac Asimov,1951,,,Moderately Complex,Slightly Complex ,Slightly complex,Moderately Complex ,,800,5.5,5.3,5-7th grade,,"science, fiction","the impact of technology, the importance of human connection, isolation ","dystopian, social commentary, speculative ",
,The Pedestrian,8,short story ,"Leonard Mead is arrested for simply taking a walk in a future society where people are confined to their homes, disconnected from the outside world.",Ray Bradbury,1951,,,Moderately Complex ,Slightly Complex ,Moderately Complex ,Moderately Complex,,740,5.5,5.1,6-8th grade ,,"dystopian, fiction","isolation, the impact of technology, freedom vs. control, alienation","science, social commentary, speculative, conformity in society ",
,Legend of Sleepy Hollow,62,short story,"Ichabod Crane, a school teacher, encounters the ghostly figure of the Headless Horseman, leading to his mysterious disappearance from the village of Sleepy Hollow.",Washington Irving ,1820,,,Moderately Complex,Moderately Complex ,Moderately Complex ,Moderately Complex ,,920,9,9,9-12th grade ,,"gothic, fiction","superstition vs. reality, greed, imagination, man vs. nature","dark romanticism, folklore, horror, american, supernatural ",
,A Rose for Emily,36,short story ,"The reclusive Miss Emily Grierson, whose life and shocking secrets, including the discovery of a corpse in her home, symbolize the decay of the Old South.",William Faulkner,1930,,,Very Complex ,Very Complex,Very Complex ,Very Complex ,,1000,8.6,4.6,9-12th grade ,,"gothic, fiction","tradition vs. change, isolation, gender","horror, mystery, dark romanticism, madness",
,The Star ,26,short story,"A massive celestial body is approaching Earth, causing global catastrophes and mass panic, but Martian astronomers later view the event as insignificant.",HG Wells,1897,,,Very Complex ,Very Complex ,Moderately Complex,Very Complex,,1080,9.2,7,9-12th grade,,"science, fiction","survival, fragility of life, public ignorance ","speculative, apocalytic, space, thriller",
,Gettysburg Address,5,speech,"A powerful speech that honors the fallen soldiers of the Civil War, reaffirms the principles of equality and liberty, and emphasizes the importance of national unity and the preservation of democracy.",Abraham Lincoln ,1863,,,Exceedingly Complex,Very Complex ,Very Complex ,Exceedingly Complex,,1230,9,7.3,9-12th grade,,political rhetoric,"equality, sacrafice, the struggle for justice ","inspirational, philosophical, presidential, persuasive, historical ",
,The Canterville Ghost,44,novella,"An American family moves into a haunted English mansion, where the ghost's attempts to scare them are thwarted by their practical and fearless behavior, leading to an unexpected friendship.",Oscar Wilde,1887,,,Very Complex ,Moderately Complex,Very Complex ,Very Complex ,,1210,8.3,6.8,9-12th grade,,"gothic, fiction","redemption, cultural conflict, courage, compassion ","satire, supernatural, humor, fantasy ",
,The Hand (Maupassant),32,short story,"A man becomes obsessed with a mysterious, disembodied hand he found and eventually believes that it is cursed, leading to a tragic end.",Guy de Maupassant,1883,,,Very Complex,Moderately Complex ,Very Complex ,Very Complex ,,1100,8.5,7,9-12th grade,,"psychological, fiction","obsession, madness, fear of the unknown","supernatural, horror, gothic, dark realism",
,145th Street Stories,208,novel,"A collection of interconnected short stories that depict the lives of African American residents in Harlem, exploring themes of identity, community, and the struggles and triumphs of everyday life.",Walter Dean Myers,2000,,,Very Complex ,Very Complex ,Moderately Complex ,Very Complex ,,760,4.5,5.1,4-5th grade,,"realistic, fiction","identity, community, facing racism, poverty, resilience","coming of age, urban, hopeful, family, young adult ",African American
,Seedfolks ,112,novel,"A diverse group of neighbors in a neglected urban community who come together to transform a vacant lot into a thriving garden, discovering a sense of connection and belonging in the process.",Paul Fleischman,1997,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,710,5,4.3,3-8th grade,,"realistic, fiction ","community, tolerance, resilience, diversity","coming of age, modern, young adult, multicultural ",
,Scythe,464,novel,"Set in a future where death has been conquered, Citra and Rowan are selected to apprentice as scythes to maintain balance by harvesting lives, forcing them to confront moral dilemmas and the nature of life and death.",Neal Shusterman,2016,,,Moderately complex ,Very Complex ,Very Complex,Moderately Complex ,,830,6,6.5,7-9th grade,,"dystopian, fiction","the value of life, freedom vs. control, morality","science, young adult, human nature, philosophical ",
,Thank You Ma'am,24,short story,"A young boy tries to steal a woman’s purse, only to have her show him kindness by taking him to her home, feeding him, and teaching him a lesson about trust and respect.",Langston Hughes,1958,,,Moderately Complex ,Slightly Complex ,Moderately Complex,Moderately Complex,,670,3.3,3.8,6-12th grade,,"realistic, fiction","kindness, forgiveness, role models, respect, poverty","coming of age, urban, morality, social commentary ",African American
,"The Lady, or the Tiger?",11,short story,"A semi-barbaric king devises a cruel trial in which a young man must choose between two doors—one hiding a deadly tiger and the other a beautiful lady—while the jealous princess, who knows the secret behind the doors, secretly influences his fate.",Frank R. Stockton,1882,,,Very Complex,Very Complex,Moderately Complex,Moderately Complex ,,1260,12,8.6,10-12th grade,,fable,"consequences of actions, justice, love vs. self-interest","allegory, fairytale, suspense, psychological",
,"So What Are You, Anyway",6,short story ,"A young girl encounters racial prejudice during a conversation with a white couple on a plane, highlighting themes of identity, racism, and innocence.",Lawrence Hill,2000,,,Very Complex ,Slightly Complex ,Moderately Complex ,Moderately Complex ,,800,5,5,6-9th grade,,"realistic, fiction","prejudice, social belonging, loss of innocence","coming of age, social commentary, discomfort, social expectations ",Biracial 
,Love that Dog,128,novel,Jack discovers his voice as a poet while processing his feelings about a beloved dog and learning to appreciate poetry.,Sharon Creech,2001,,,Moderately Complex ,Moderately Complex ,Slightly Complex ,Slightly Complex ,,700,3.2,3.7,3-5th grade,,poetry,"grief, self-expression, personal growth","coming of age, modern, courage, emotional",
,Charles,32,short story,"Laurie comes home from kindergarten with tales of a misbehaving classmate named Charles, only to reveal at the end that Charles is actually Laurie himself, highlighting themes of deception and self-awareness.",Shirley Jackson,1948,,,Very Complex ,Moderately Complex ,Moderately Complex ,Slightly Complex,,800,5,5,5-8th grade,,"realistic, fiction","deceit, accountability, complexity of childhood behavior ","psychological, irony, surprise, suspense  ",
,Theseus and the Minotaur,32,picture book ,"A retelling of the Greek myth in which the hero Theseus ventures into the labyrinth to defeat the Minotaur, a fearsome creature, with the help of Ariadne's thread, symbolizing bravery, ingenuity, and the triumph of good over evil.",Sonia Elisabetta Corvaglia,2021,,,Very Complex,Slightly Complex ,Moderately Complex ,Moderately Complex,,600,4,4.3,3-5th grade,,children's literature ,"courage, strategy, good vs. evil, destiny ","mythology, fantasy, adventure, heroic ",
,Borders (Thomas King),192,novel,"A mother and her son navigate the complexities of identity and cultural boundaries when they are detained at the Canada-U.S. border because the mother refuses to declare her citizenship, emphasizing themes of belonging, nationalism, and indigenous identity.",Thomas King ,2021,,,Very Complex ,Moderately Complex ,Moderately Complex ,Very Complex ,,730,5.2,5,6-8th grade,,"realistic, fiction","cultural belonging, nationalism, indigenous rights, cultural conflict ","social commentary, resistence, culture, government ",Indigenous 
,The Stolen Party (Liliana Hecker),5,short story,"Rosaura is invited to a rich girl’s birthday party, only to later realize that she was treated as a servant rather than an equal, highlighting themes of class disparity and the loss of innocence.",Liliana Hecker,1994,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,850,5.5,5.4,6-8th grade,,"realistic, fiction","social status, class corruption, loss of innocence, identity ","coming of age, priviledge, disillusionment, social expectations ",
,Marigolds (Eugenia Collier) ,5,short story,"After destroying a neighbor’s marigold garden in a moment of frustration, Lizabeth experiences a painful yet transformative realization about the complexity of human emotions, poverty, and the loss of innocence.",Eugenia Collier,1969,,,Very Complex ,Moderately Complex ,Moderately Complex ,Very Complex ,,910,6.5,6.3,9-12th grade,,"realistic, fiction","loss of innocence, social status, empathy, self-discovery","coming of age, psychological, islolation, hopeful ",
