Researcher,Overview,book,"length (pages, time stamp, slide #) ",text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
,,Letter From A Birmingham Jail,35.0,epistolary,"Martin Luther King Jr. defends his civil disobedience against racial segregation, arguing that individuals have a moral duty to oppose unjust laws and fight for justice through nonviolent means.",Martin Luther King Jr. ,1963,,,Very Complex ,Very Complex ,Very Complex,Very Complex ,,1200,12.5,9.6,11 to 12  ,,nonfiction,"civil disobedience, prejudice, urgency of action, moral responsibility ","political, activist, persuasive, social justice ",
,,The Landlady,17.0,short story ,"A young man named Billy Weaver checks into a peculiar bed-and-breakfast, only to realize too late that the seemingly kind landlady has sinister intentions.",Roald Dahl ,1959,,,Moderately Complex,Moderately Complex,Slightly Complex,Moderately Complex,,600,6.0,4.4,6 to 8  ,,gothic fiction,"expectations vs. reality, isolation, dangers of naivety ","thriller, horror, suspense, foreshadowing, dark comedy",
,,The Black Cat,34.0,short story ,"A man descends into madness and violence, driven by alcoholism and guilt, ultimately sealing his fate when his horrific crime is exposed by the very cat he sought to destroy. ",Edgar Allan Poe ,1843,,,Very Complex,Very Complex ,Exceedingly Complex,Moderately Complex,,890,9.0,9.3,9 to 12 ,,gothic fiction ,"guilt, self-destruction, madness","thriller, horror, dark romanticism, justice, supernatural ",
,,A Sound Of Thunder,39.0,short story,"A time-traveling hunter accidentally alters the past by killing a butterfly, leading to disastrous changes in the future.",Ray Bradbury,1952,,,Moderately Complex ,Slightly complex ,Moderately Complex,Moderately Complex ,,820,6.5,5.7,7 to 9  ,,science fiction ,"the butterfly effect, human impact on the environment, moral responsibility ","alternate realities, time travel, speculative, thriller ",
,,The Necklace,48.0,short story,"A woman borrows a costly necklace to attend a fancy event, loses it, and spends years in poverty replacing it, only to discover the original necklace was a fake.",Guy de Maupassant,1884,,,Very Complex ,Moderately Complex ,Moderately Complex,Very Complex ,,1200,7.5,6.3,8 to 10 ,,realistic fiction,"social status, vanity, pride, deceit ","irony, drama, social commentary, fate, misjudgment ",
,,Flowers For Algernon,60.0,short story ,"A man with an intellectual disability undergoes an experimental procedure that boosts his intelligence, but as he becomes more aware of his surroundings, he grapples with the fleeting nature of his newfound abilities.",Daniel Keyes,1959,,,Very Complex ,Moderately Complex ,Slightly Complex,Very Complex ,,680,5.5,5.4,7 to 9 ,,science fiction,"ethics of science experimentation, isolation, intelligence, the importance of human connection ","psychological, humanism, social commentary, social prejudice ",
,,The Gift Of The Magi,18.0,short story ,"A young couple sacrifices their most treasured possessions to buy each other Christmas gifts, only to find their love and selflessness are the true gifts that matter most.",O. Henry,1905,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Slightly Complex ,,880,6.5,6.6,7 to 10  ,,realistic fiction,"love, sacrifice, selflessness, wealth vs. value ","romance, irony, gender, christian values ",
,,The Yellow Wallpaper,22.0,short story,"A woman suffering from postpartum depression is confined by her husbands strict treatment, leading her to obsess over the rooms wallpaper and slowly descend into madness.",Charlotte Perkins Gilman,1892,,,Very Complex ,Slightly Complex,Slightly Complex ,Moderately Complex ,,990,9.5,8.2,9 to 12  ,,gothic fiction ,"freedom vs. control, patriarchal control, identity","psychological, horror, feminist, realistic, mental illness ",
,,The Fun They Had,5.0,short story,"Two children in the future discover an old book about traditional schools and reflect on how different their own robotic, individualized learning system is.",Isaac Asimov,1951,,,Moderately Complex,Slightly Complex ,Slightly complex,Moderately Complex ,,800,5.5,5.3,5 to 7 ,,science fiction,"the impact of technology, the importance of human connection, isolation ","dystopian, social commentary, speculative ",
,,The Pedestrian,8.0,short story ,"Leonard Mead is arrested for simply taking a walk in a future society where people are confined to their homes, disconnected from the outside world.",Ray Bradbury,1951,,,Moderately Complex ,Slightly Complex ,Moderately Complex ,Moderately Complex,,740,5.5,5.1,6 to 8  ,,dystopian fiction,"isolation, the impact of technology, freedom vs. control, alienation","science, social commentary, speculative, conformity in society ",
,,Legend Of Sleepy Hollow,62.0,short story,"Ichabod Crane, a school teacher, encounters the ghostly figure of the Headless Horseman, leading to his mysterious disappearance from the village of Sleepy Hollow.",Washington Irving ,1820,,,Moderately Complex,Moderately Complex ,Moderately Complex ,Moderately Complex ,,920,9.0,9.0,9 to 12  ,,gothic fiction,"superstition vs. reality, greed, imagination, man vs. nature","dark romanticism, folklore, horror, american, supernatural ",
,,A Rose For Emily,36.0,short story ,"The reclusive Miss Emily Grierson, whose life and shocking secrets, including the discovery of a corpse in her home, symbolize the decay of the Old South.",William Faulkner,1930,,,Very Complex ,Very Complex,Very Complex ,Very Complex ,,1000,8.6,4.6,9 to 12  ,,gothic fiction,"tradition vs. change, isolation, gender","horror, mystery, dark romanticism, madness",
,,The Star,26.0,short story,"A massive celestial body is approaching Earth, causing global catastrophes and mass panic, but Martian astronomers later view the event as insignificant.",HG Wells,1897,,,Very Complex ,Very Complex ,Moderately Complex,Very Complex,,1080,9.2,7.0,9 to 12 ,,science fiction,"survival, fragility of life, public ignorance ","speculative, apocalyptic, space, thriller",
,,Gettysburg Address,5.0,speech,"A powerful speech that honors the fallen soldiers of the Civil War, reaffirms the principles of equality and liberty, and emphasizes the importance of national unity and the preservation of democracy.",Abraham Lincoln ,1863,,,Exceedingly Complex,Very Complex ,Very Complex ,Exceedingly Complex,,1230,9.0,7.3,9 to 12 ,,political rhetoric,"equality, sacrifice, the struggle for justice ","inspirational, philosophical, presidential, persuasive, historical ",
,,The Canterville Ghost,44.0,novella,"An American family moves into a haunted English mansion, where the ghost's attempts to scare them are thwarted by their practical and fearless behavior, leading to an unexpected friendship.",Oscar Wilde,1887,,,Very Complex ,Moderately Complex,Very Complex ,Very Complex ,,1210,8.3,6.8,9 to 12 ,,gothic fiction,"redemption, cultural conflict, courage, compassion ","satire, supernatural, humor, fantasy ",
,,The Hand (Maupassant),32.0,short story,"A man becomes obsessed with a mysterious, disembodied hand he found and eventually believes that it is cursed, leading to a tragic end.",Guy de Maupassant,1883,,,Very Complex,Moderately Complex ,Very Complex ,Very Complex ,,1100,8.5,7.0,9 to 12 ,,psychological fiction,"obsession, madness, fear of the unknown","supernatural, horror, gothic, dark realism",
,,145Th Street Stories,208.0,novel,"A collection of interconnected short stories that depict the lives of African American residents in Harlem, exploring themes of identity, community, and the struggles and triumphs of everyday life.",Walter Dean Myers,2000,,,Very Complex ,Very Complex ,Moderately Complex ,Very Complex ,,760,4.5,5.1,4 to 5 ,,realistic fiction,"identity, community, facing racism, poverty, resilience","coming of age, urban, hopeful, family, young adult ",African American
,,Seedfolks,112.0,novel,"A diverse group of neighbors in a neglected urban community who come together to transform a vacant lot into a thriving garden, discovering a sense of connection and belonging in the process.",Paul Fleischman,1997,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,710,5.0,4.3,3 to 8 ,,realistic fiction ,"community, tolerance, resilience, diversity","coming of age, modern, young adult, multicultural ",
,,Scythe,464.0,novel,"Set in a future where death has been conquered, Citra and Rowan are selected to apprentice as scythes to maintain balance by harvesting lives, forcing them to confront moral dilemmas and the nature of life and death.",Neal Shusterman,2016,,,Moderately complex ,Very Complex ,Very Complex,Moderately Complex ,,830,6.0,6.5,7 to 9 ,,dystopian fiction,"the value of life, freedom vs. control, morality","science, young adult, human nature, philosophical ",
,,Thank You Ma'Am,24.0,short story,"A young boy tries to steal a womans purse, only to have her show him kindness by taking him to her home, feeding him, and teaching him a lesson about trust and respect.",Langston Hughes,1958,,,Moderately Complex ,Slightly Complex ,Moderately Complex,Moderately Complex,,670,3.3,3.8,6 to 12 ,,realistic fiction,"kindness, forgiveness, role models, respect, poverty","coming of age, urban, morality, social commentary ",African American
,,"The Lady, Or The Tiger?",11.0,short story,"A semi-barbaric king devises a cruel trial in which a young man must choose between two doorsone hiding a deadly tiger and the other a beautiful ladywhile the jealous princess, who knows the secret behind the doors, secretly influences his fate.",Frank R. Stockton,1882,,,Very Complex,Very Complex,Moderately Complex,Moderately Complex ,,1260,12.0,8.6,10 to 12 ,,fable,"consequences of actions, justice, love vs. self-interest","allegory, fairytale, suspense, psychological",
,,"So What Are You, Anyway",6.0,short story ,"A young girl encounters racial prejudice during a conversation with a white couple on a plane, highlighting themes of identity, racism, and innocence.",Lawrence Hill,2000,,,Very Complex ,Slightly Complex ,Moderately Complex ,Moderately Complex ,,800,5.0,5.0,6 to 9 ,,realistic fiction,"prejudice, social belonging, loss of innocence","coming of age, social commentary, discomfort, social expectations ",Biracial 
,,Love That Dog,128.0,novel,Jack discovers his voice as a poet while processing his feelings about a beloved dog and learning to appreciate poetry.,Sharon Creech,2001,,,Moderately Complex ,Moderately Complex ,Slightly Complex ,Slightly Complex ,,700,3.2,3.7,3 to 5 ,,poetry,"grief, self-expression, personal growth","coming of age, modern, courage, emotional",
,,Charles,32.0,short story,"Laurie comes home from kindergarten with tales of a misbehaving classmate named Charles, only to reveal at the end that Charles is actually Laurie himself, highlighting themes of deception and self-awareness.",Shirley Jackson,1948,,,Very Complex ,Moderately Complex ,Moderately Complex ,Slightly Complex,,800,5.0,5.0,5 to 8 ,,realistic fiction,"deceit, accountability, complexity of childhood behavior ","psychological, irony, surprise, suspense  ",
,,Theseus And The Minotaur,32.0,picture book ,"A retelling of the Greek myth in which the hero Theseus ventures into the labyrinth to defeat the Minotaur, a fearsome creature, with the help of Ariadne's thread, symbolizing bravery, ingenuity, and the triumph of good over evil.",Sonia Elisabetta Corvaglia,2021,,,Very Complex,Slightly Complex ,Moderately Complex ,Moderately Complex,,600,4.0,4.3,3 to 5 ,,children's literature ,"courage, strategy, good vs. evil, destiny ","mythology, fantasy, adventure, heroic ",
,,Borders (Thomas King),192.0,novel,"A mother and her son navigate the complexities of identity and cultural boundaries when they are detained at the Canada-U.S. border because the mother refuses to declare her citizenship, emphasizing themes of belonging, nationalism, and indigenous identity.",Thomas King ,2021,,,Very Complex ,Moderately Complex ,Moderately Complex ,Very Complex ,,730,5.2,5.0,6 to 8 ,,realistic fiction,"cultural belonging, nationalism, indigenous rights, cultural conflict ","social commentary, resistance, culture, government ",Indigenous 
,,The Stolen Party (Liliana Hecker),5.0,short story,"Rosaura is invited to a rich girls birthday party, only to later realize that she was treated as a servant rather than an equal, highlighting themes of class disparity and the loss of innocence.",Liliana Hecker,1994,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,850,5.5,5.4,6 to 8 ,,realistic fiction,"social status, class corruption, loss of innocence, identity ","coming of age, privilege, disillusionment, social expectations ",
,,Marigolds (Eugenia Collier),5.0,short story,"After destroying a neighbors marigold garden in a moment of frustration, Lizabeth experiences a painful yet transformative realization about the complexity of human emotions, poverty, and the loss of innocence.",Eugenia Collier,1969,,,Very Complex ,Moderately Complex ,Moderately Complex ,Very Complex ,,910,6.5,6.3,9 to 12 ,,realistic fiction,"loss of innocence, social status, empathy, self-discovery","coming of age, psychological, isolation, hopeful",
,,Nothing Gold Can Stay,,poem,"""Nothing Gold Can Stay"" by Robert Frost expresses the idea that all things pure, beautiful, and perfect are fleeting and inevitably fade with time.",Robert Frost,1923,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex,,410L-600L,1.7,3.57,7 to 12,,lyric poetry,"the passage of time, the value of life, acceptance of change","naturalism, imagery, bittersweet, youth vs. age",
,,The Road Not Taken,,poem ,"""The Road Not Taken"" by Robert Frost reflects on how choices shape our lives, emphasizing the significance and lasting impact of choosing a less conventional path.",Robert Frost,1916,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex ,,1010L-1200L,9.1,6.08,6 to 9,,narrative poetry,"choice, consequences of actions, individuality","naturalism, metaphorical, imagery",
,,Rat Ode,,poem,"Elizabeth Acevedos ""Rat Ode"" reclaims the rat as a symbol of resilience and dignity, challenging elitist notions of what is worthy of poetry by honoring the overlooked strength in urban survival.",Elizabeth Acevedo,2015,,,Moderately Complex ,Moderately Complex ,Very Complex ,Very Complex ,,1010L-1200L,7.8,9.08,8 to 12,,ode,"resilience, self-reliance, dignity, identity","nostalgic, survival, suffering, self-worth, spoken word poetry",Dominican American
,,Fire And Ice,,poem,"Robert Frost's ""Fire and Ice"" explores the destructive potential of both desire (""fire"") and hatred (""ice""), suggesting that either could bring about the end of the world.",Robert Frost,1920,,,Moderately Complex ,Slightly Complex ,Slightly Complex ,Moderately Complex ,,810L-1000L,5.2,9.0,6 to 12,,poetry,"eschatology, hatred, destruction","death, metaphorical, naturalism, philosophical",
,,Friend,,poem,"Josephine Miless poem ""Friend"" reflects on the quiet complexities of companionship, capturing the delicate mix of distance, understanding, and emotional undercurrents that define human connection.",Josephine Miles,1945,,,Very Complex ,Moderately Complex ,Very Complex ,Very Complex ,,810L-1000L,4.9,6.19,7 to 12,,poetry,"superficiality of beauty, friendship, the importance of human connection","individuality, unspoken understanding, reflective",
,,I Lost My Talk,,poem,"Rita Joe's poem ""I Lost My Talk"" poignantly recounts the forced loss of her Mi'kmaw language during her time at the Shubenacadie Residential School, highlighting the cultural and personal impact of this erasure while expressing a hopeful desire to reclaim and share her heritage.",Rita Joe,1978,,,Very Complex,Slightly Complex,Slightly Complex,Very Complex,,620L-800L,4.2,4.19,1 to 4,,poetry,"cultural identity, facing racism, the power of words","indigenous rights, the importance of language, colonialism",Mi'kmaq/Indigenous
,,Casey At The Bat,,poem,"""Casey at the Bat"" tells the story of a confident baseball hero who, to the crowds shock and disappointment, strikes out at a crucial moment, highlighting the unpredictability of sports and the fallibility of even the greatest.",Ernest Lawrence Thayer,1888,,,Slightly Complex,Slightly Complex,Moderately Complex,Moderately Complex,,810L-1000L,8.7,8.53,4 to 8,,ballad poetry,"pride, arrogance, hope, failure, unpredictability","mock-heroic, patriotism, sports",
,,The Rose That Grew From Concrete,,Poem,"""The Rose That Grew from Concrete"" symbolizes resilience and hope, portraying how beauty and strength can emerge from harsh, unforgiving circumstances.",Tupac,1999,,,Very Complex ,Slightly Complex,Slightly Complex,Moderately Complex,,610L-800L,4.0,5.7,9 to 12,,poetry,"resilience, overcoming adversity, facing racism","nature, urban, hopeful, inspiring, social justice",African American
,,The Listeners,,Poem,"""The Listeners"" depicts a mysterious traveler who arrives at a quiet, abandoned house seeking a response, only to be met by silent, ghostly presences, evoking themes of isolation, unanswered questions, and the supernatural.",Walter de la Mare,1912,,,Very Complex,Very Complex ,Very Complex ,Moderately Complex,,610L-800L,13.7,8.48,7 to 9,,narrative poetry,"isolation and solitude, the unspoken, alienation","supernatural, mystery, nature, atmospheric",
,,We Wear The Mask,,poem,"""We Wear the Mask"" reveals how Black Americans hide their pain and suffering behind a facade of happiness, exposing the emotional toll of racism and societal oppression.",Paul Laurence Dunbar,1895,,,Very Complex,Moderately Complex,Moderately Complex ,Very Complex,,610L-800L,6.2,7.38,10 to 12,,poetry,"facing racism, resilience, oppression, inequality, duality","rondeau poetry, social justice, colonialism, social status, deceit",African American
,,Still I Rise,,poem,"""Still I Rise"" is a powerful declaration of resilience and self-worth, celebrating the ability to overcome oppression, prejudice, and hardship with unwavering confidence and pride.",Maya Angelou,1978,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,810L-1000L,4.1,6.63,8 to 10,,poetry,"facing racism, resilience, oppression, overcoming adversity, defiance","hopeful, inspiring, social justice, identity, empowerment",African American
,,A Dream Within A Dream,,poem,"""A Dream Within a Dream"" explores the elusive nature of reality and the inevitability of loss, questioning whether life itself is just an illusion.",Edgar Allen Poe,1849,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,610L-800L,4.1,5.96,7 to 12,,lyric poetry,"dreams vs. reality, the passage of time, loss, grief, death","gothic, dark romanticism, philosophical, melancholy",
,,Deer Hit,,poem,"Deer Hit vividly portrays a teenagers reckless drunk-driving accident involving a deer, exploring themes of guilt, responsibility, and strained family relationships.",Jon Loomis,2001,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,610L-800L,4.0,3.34,9 to 12,,narrative poetry,"responsibility, loss of innocence, death, guilt, regret",,
,,Eating Poetry,,poem,"Eating Poetry humorously captures the rebellious and transformative power of poetry, as the speaker literally consumes poems to escape reality and experience their emotional intensity.",Mark Strand,1968,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,410L-600L,1.5,2.99,9 to 12,,poetry,"power of words, transformation, experience of art","surreal, passion, imagery, imagination, irony, primal, postmodern",
,,And The Ghosts,,poem,"""And the Ghosts reflects on memory and loss, using sparse language to evoke the lingering presence of past experiences that quietly haunt the present.",Graham Foust,2013,,,Very Complex ,Slightly Complex,Slightly Complex,Moderately Complex,,,,3.0,6 to 10,,poetry,"memory, death, control, agency","flash fiction, postmodern, abstract, minimalism, philosophical, supernatural",
,,That Sure Is My Little Dog,,poem,"""That Sure is my Little Dog"" is a poem aboutpushing world problems from one generation onto the next and written as though the speaker is giving advice to a younger generation.",Eleanor Lerman,2005,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,810L-1000L,5.6,5.91,11 to 12,,poetry,"identity, resilience, defiance, alienation, disillusionment","generations, social commentary, historical, culture, change",
,,Mother To Son,,poem,"Mother to Son conveys a mothers message of resilience and hope, urging her son to persevere through lifes hardships despite obstacles and setbacks.",Langston Hughes,1922,,,Moderately Complex,Slightly Complex,Slightly Complex,Moderately Complex,,810L-1000L,5.0,5.43,6 to 8 ,,poetry,"resilience, overcoming adversity, facing racism, motherhood","hopeful, empowerment, social injustice, metaphorical",African American
,,Oranges,,poem,"Oranges tells of a young boys tender first date on a cold December day, highlighting his innocent generosity and the warmth of unexpected kindness.",Gary Soto,1983,,,Moderately Complex,Slightly Complex,Slightly Complex,Moderately Complex,,1010L-1200L,7.5,5.87,6 to 9,,narrative poetry,"love, sacrifice, youth, memory, innocence","coming of age, happiness, romantic, symbolism",
,,This Is Just To Say,,poem,"This Is Just to Say is a brief, playful poem in which the speaker casually admits to eating someones plums, expressing both apology and delight in the act.",William Carlos Williams,1934,,,Moderately Complex,Slightly Complex,Slightly Complex,Moderately Complex,,410L-600L,1.8,3.5,5 to 9 ,,poetry,"love, apology, forgiveness, domesticity ","minimalism, imagism, modernism, pleasure",
,,Snow,,poem,Snow explores the fragile boundary between childhood innocence and harsh reality through a tense encounter between two brothers during a snowy walk.,David Berman,1999,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,410L-600L,2.4,3.91,9 to 12,,poetry,"loss of innocence, storytelling, youth vs age, curiousity","siblings, metaphorical, violence, death, coming of age",
,,So You Want To Be A Writer,,poem,"So You Want to Be a Writer bluntly advises aspiring writers to embrace honesty, perseverance, and the raw, often painful realities of the creative process rather than chasing fame or approval.",Charles Burkowski ,2003,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,810L-1000L,4.5,5.95,6 to 12,,poetry,"power of words, storytelling, passion, sacrifice, purpose, authenticity","suffering, individuality, conformity, creativity, experience of art",
,,We Real Cool,,poem,"We Real Cool succinctly portrays the rebellious lives of young pool players, capturing their defiant attitude and hinting at the fleeting, risky nature of their existence.",Gwendolyn Brooks,1960,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,,1.38,7 to 12,,poetry,"youth, mortality, rebellion, identity, conformity","social commentary, defiance, urban, social inequity, masculinity",African American 
,,Do Not Go Gentle Into That Good Night,,poem,"Do Not Go Gentle into That Good Night is a passionate plea urging people to fight against death and to live with fierce resistance, especially in the face of aging and mortality.",Dylan Thomas,1951,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,810L-1000L,5.6,6.77,8 to 12,,poetry,"death, defiance, the value of life","villanelle poetry, classic, empowerment, loss, bravery",
,,Daddy,,poem,"Daddy is a raw, emotionally charged poem in which the speaker confronts the memory of her oppressive father, using intense imagery to express anger, grief, and a struggle for liberation.",Sylvia Plath,1965,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,810L-1000L,3.6,4.93,9 to 12,,poetry,"trauma, memory, oppression, abuse, gender","anger, female agency, family, psychological, confessional poetry, father-daughter relationships",
,,I Died For Beauty,,poem,"I Died for Beauty reflects on the kinship between truth and beauty through a quiet conversation between two souls in their graves, suggesting that even noble ideals fade with time.",Emily Dickinson,1890,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,810L-1000L,5.1,6.46,9 to 12,,poetry,"death, mortality, beauty, truth, universe indifference","gothic, nature, human insignificance, bleak, sacrifice, philosophical",
,,Annabel Lee,,poem,"Annabel Lee is a hauntingly romantic poem that mourns the loss of a beloved, celebrating their eternal love that even death cannot diminish.",Edgar Allen Poe,1849,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1010L-1200L,18.2,8.34,7 to 12,,narrative poetry,"death, love, loss, grief, madness, jealousy, passion","gothic, dark romanticism, supernatural, fate, memory",
,,Ode To A Large Tuna In The Market,,poem,"Ode to a Large Tuna in the Market celebrates the humble tuna fish, honoring its strength, vitality, and vital role in lifes cycle through vivid and affectionate imagery.",Pablo Neruda,1954,,,Very Complex,Moderately Complex,Very Complex,Moderately Complex,,1210L-1400L,18.1,10.69,6 to 9 ,,"poetry,ode","death, loss, connection to nature, human impact on the environment, beauty","power, mystery, spirituality, violence, social commentary",Chilean
,,A Total Stranger One Black Day,,poem,"A Total Stranger One Black Day explores multifaceted relationships and the power of forgiveness, creating an unbreakable bond that reflects themes of love, loss, and identity.",e.e. Cummings,1923,,,Very Complex,Very Complex,Moderately Complex ,Very Complex,,,14.2,9.0,8 to 12 ,,poetry,"relationships, transformation, forgiveness, identity, alienation","modernism, minimalism, philosophical, acceptance",
,,The Cremation Of Sam Mcgee,,poem,"The Cremation of Sam McGee humorously recounts a prospectors promise to cremate his dying friend in the Yukons frozen wilderness, leading to a macabre yet witty tale of friendship and survival.",Robert W. Service,1907,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,810L-1000L,9.7,6.96,7 to 12 ,,"narrative poetry,ballad","death, survival, man vs. nature, friendship, greed","mortality, humor, irony, honor",
,,The Highwayman,,poem,"The Highwayman is a dramatic and romantic narrative poem about a daring highwaymans love for Bess, an innkeepers daughter, whose tragic sacrifice ultimately haunts the moor.",Alfred Noyes,1906,,,Moderately Complex ,Moderately Complex,Moderately Complex,Moderately Complex,,1010L-1200L,6.2,7.51,6 to 9 ,,"narrative poetry,ballad","love, death, defiance, courage, sacrifice","dark romanticism, gothic, forbidden love, tragedy",
,,Language Lessons,,poem,"""Language Lessons"" captures a childs early experiences learning language and sounds in kindergarten, blending innocence with new perceptions of the world and others.",Alexandra Teague,2015,,,Moderately Complex,Slightly Complex,Slightly Complex,Moderately Complex,,,6.1,5.81,6 to 12 ,,poetry,"loss of innocence, power of words, importance of language, youth, judgement","identity, education, social commentary, social belonging, motherhood",
,,Mirror,,poem,"Mirror explores themes of self-perception and truth, portraying a mirror as an unflinching witness to a womans changing identity and her struggle with aging.",Sylvia Plath,1961,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,4.6,4.19,6 to 12 ,,poetry,"identity, passage of time, youth vs age, truth","modernism, time, appearance, confessional poetry, psychological",
,,She Walks In Beauty,,poem,"She Walks in Beauty celebrates a womans serene and radiant beauty, emphasizing the harmony between her outward appearance and inner goodness.",Lord Byron ,1814,,,Moderately Complex,Slightly Complex,Slightly Complex,Moderately Complex,,,15.2,12.0,9 to 12 ,,lyric poetry,"beauty, nature, innocence","femininity, English, Romantic",
,,A Man Said To The Universe,,poem,"A man asserts his existence to the universe, but the universe responds with indifference, acknowledging his presence without granting him significance. The poem highlights the theme of cosmic indifference and humanity's struggle for meaning.",Stephen Crane,1899,,,Moderately Complex ,Slightly Complex,Slightly Complex ,Moderately Complex,,,7.6,7.0,7 to 9 ,,lyric poetry,"human insignificance, universe indifference, purpose","naturalism, realism, existential, philosophical, personification",
,,Tattoo,,poem,"""Tattoo"" reflects on an older man's faded tattoo, once a symbol of youthful rebellion and vitality. The speaker observes how time has softened both the ink and the man himself, suggesting the inevitability of aging and the quiet transformation of identity over time.",Ted Kooser,2003,,,Moderately Complex,Slightly Complex,Slightly Complex,Slightly Complex,,,14.2,8.0,9 to 12 ,,narrative poetry,"the passage of time, youth vs age, identity, memory","symbolism, observation and inference, imagery",
,,IM Nobody! Who Are You?,,poem,"The speaker embraces being a ""Nobody"" and questions the value of fame, suggesting that being anonymous is preferable to the public, performative life of a ""Somebody."" It playfully explores themes of identity and social conformity. ",Emily Dickinson,1891,,,Moderately Complex,Moderately Complex,Moderately Complex,Slightly Complex,,,5.4,2.52,7 to 12 ,,lyric poetry,"identity, individuality, conformity, anonymity, solitude","romanticism, irony, social commentary",
,,A Litany In Time Of Plague,,poem,"In a solemn reflection on the fragility of life during a deadly plague, the poem emphasizes that wealth, beauty, and status are powerless against death, highlighting the universality and inevitability of human mortality.",Thomas Nashe,1593,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,,2.9,5.74,9 to 12 ,,litany poetry,"mortality, death, destruction, limits of human agency","Christian values, somber, suffering, Elizabethan",
,,The Raven,,poem,"A grieving man is visited by a mysterious raven. As the bird repeatedly utters the word Nevermore, the man descends into despair, haunted by the loss of his lost love, Lenore, and tormented by the hopelessness of never being reunited with her.",Edgar Allen Poe,1845,,,Very Complex,Very Complex,Very Complex,Moderately Complex,,,11.7,10.51,7 to 12 ,,narrative poetry,"loss, grief, death, madness, memory","supernatural, gothic, psychological, horror, suspense",
,,I Wandered Lonely As A CloudB,,poem,"The speaker has a joyful experience of coming across a field of golden daffodils. The memory of the vibrant flowers uplifts his spirits whenever he feels lonely or down, celebrating natures power to inspire and bring lasting happiness.",William Wordsworth,1807,,,Moderately Complex,Moderately Complex,Moderately Complex,Slightly Complex,,,19.6,12.0,7 to 9 ,,lyric poetry,"nature, memory, solitude, spirituality, imagination","romanticism, imagery, joyful, philosophical",
,,The Hill We Climb,,poem,"The inaugural poem The Hill We Climb is a hopeful and inspiring call for unity and resilience in America. It acknowledges the countrys struggles and divisions but emphasizes collective strength, healing, and the promise of a better future through shared effort and courage.",Amanda Gorman,2021,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,,9.1,8.21,6 to 12 ,,poetry,"unity, resilience, democracy, progress, bravery, injustice, equality","spoken word poetry, hopeful, political, history, moral responsibility",African American
,,If ,,poem,"If offers advice on how to live with integrity, resilience, and self-discipline. It outlines qualities like patience, courage, humility, and determination as keys to becoming a mature and honorable person.",Rudyard Kipling,1910,,,Moderately Complex ,Moderately Complex,Moderately Complex,Slightly Complex,,,54.7,10.0,7 to 12 ,,poetry,"resilience, morality, honor, courage, self-reliance, humility, overcoming adversity ","Victorian, masculinity, moral responsibility, stoicism",
,,Stopping By Woods On A Snowy Evening,,poem,"The poem describes a quiet moment as the speaker pauses to admire the peaceful, snow-filled woods. Though drawn to their stillness and beauty, he reminds himself of responsibilities and commitments that require him to move on.",Robert Frost,1923,,,Moderately Complex,Slightly Complex,Slightly Complex,Slightly Complex,,,5.6,5.1,5 to 8 ,,poetry,"man vs nature, death, choice, purpose, solitude","modernism, sensational, imagery, personification, rural",
,,Invictus,,poem,"""Invictus expresses unwavering determination and personal strength in the face of adversity. The speaker emphasizes self-mastery and the power of the human will to endure suffering without surrendering to despair.",William Ernest Henley,1888,,,Moderately Complex,Slightly Complex,Moderately Complex ,Slightly Complex ,,,6.5,7.94,7 to 12 ,,lyric poetry,"resilience, fate vs. free will, self-reliance, overcoming adversity","Victorian, suffering, spirituality, empowerment, philosophical",
